,name,description,key_features,module_requirements,voice_over_loc,subtitle_loc
10,DCS: MiG-21bis Battle of Krasnodar Campaign by SorelRo,Battle of Krasnodar is a story-based campaign that will test your air-to-air and air-to-ground skills in a variety of missions while you confront US forces in the emerging conflict.,"['25 story-driven missions', 'Over 400 voiceovers', 'Late 1970’s units set.', 'Full scale conflict that will progress throughout the campaign.', 'Large variety of missions, CAP, CAS, Intercept, Escort, Anti-ship.', 'Detailed briefings, kneeboard files  and supporting documentation for each mission.']",['DCS: MiG-21bis'],"English, Russian",English
11,DCS: MiG-21bis Constant Peg Campaign by Bunyap Campaigns,"The Constant Peg Campaign is based on operations carried out by the USAF's 4477th Test and Evaluation Squadron, the 'Red Eagles'.  These 10 missions are set in 1988 and replicate the unit's typical operations from Tonopah Test Range Airfield, Nevada.  You will take flight in a MiG-21 to expose pilots from operational units to Soviet aircraft, and to replicate adversary tactics during realistic combat training scenarios.  Face off against the F-14 Tomcat and F-15 Eagle in one versus one and two versus two air combat.  Lead your flight against a larger force during realistic Fighter Weapons School 'Mission Employment' training and a 'Red Flag' exercise mission. This campaign was designed in partnership with Steve Davies, author of Red Eagles: America's Secret Migs, host of the 10 Percent True: Tales from the Cockpit podcast, and the authority on Constant Peg operations.  He brought with him access to the real Red Eagles pilots, whose technical guidance was used to ensure this is the most realistic experience possible. Key features:","['10 missions based on first-hand accounts of Constant Peg operations', 'A Campaign Introduction by Steve Davies and 10 sets of PDF briefings adapted from USAF standards', 'Custom kneeboard pages for each mission including a reproduction of an actual Red Eagles MiG-21 checklist', 'Hundreds of authentic voice overs that recreate the actual callsigns and procedures']","['DCS: MiG-21bis', 'DCS: Nevada Test and Training Range Map']",English,English
12,DCS: F/A-18C Rise of the Persian Lion Campaign by Badger 633,"As another sunrise breaks over the shimmering Iranian desert horizon, things in the Gulf are about to change in a big way. It appears that the I.R.G.C is no longer subservient to the Clerics as before. Fuelled by the recent severe international sanctions its new aggressive leader by the name of 'Asad' has sworn to take full control of the Straits of Hormuz. In response, an international force has been deployed to the area with the USS Abraham Lincoln at its heart. As Lieutenant Scott Waters, call sign 'Ford', deployment on USS John C Stennis in the Black Sea draws to a close, both he and his wingman, are soon to become part of this new force in the Gulf. 
Things are balanced on a pin head, tensions in the Gulf are about to be raised to breaking point and beyond. This Campaign follows on from Ford's exploits at the Black Sea on board the USS John C Stennis in the 'Serpent's Head 2 Campaign'. The Campaign ethos, as before, is not to capture reality but create an imaginative, immersive, and engaging set of missions linked together with a developing plot narrative. Key Features","['15 Detailed missions linked by an ongoing story line.', ""'Ford' is now joined by his wingman, Lieutenant Larry Jackson, call sign 'Wave'."", 'As before a VR friendly design with careful control of resources and including recall of airborne coordinates.', 'Over a thousand voice overs performed by voice actors.', 'Detailed briefs for each of the missions including PDF versions.', 'Kneeboards for each mission.', 'Personalised aircraft skins.', ""Alternate optional campaign version with 'Easy Air to Air Refuel' for those who have not yet mastered the art of catching the basket."", 'Mission bypass system. This allows the pilot in the first 5 minutes of a mission to select, via the F10 menu, to move up to the next level even if they fail the mission.']","['DCS: F/A-18C Hornet', 'DCS: Supercarrier', 'DCS: Persian Gulf Map']",English,English
13,DCS: F-14A Fear the Bones Campaign by Reflected Simulations,"April 1989. The USS Valley Forge cruiser had an accident on the Black Sea just off the coast of the Soviet Union, and the USS Theodore Roosevelt is being sent there to support the rescue operation with VF-84 on board. Jaws, Jester, Ghost, Pyro, Caveman, Grip, Elvis and Glory, all hot shot F-14A Tomcat fighter jocks of the 'Jolly Rogers' are itching to see some action, but they might get more than they bargained for. Join them in fighting MIGs, intercepting Bears, defending the fleet, escorting Alpha strikes and much more in this relaxed, story-driven campaign that is an entertaining mix of realism and 1980s style fiction. Kick the tires, light the fires and make them 'Fear the Bones!' Key Features:","['13 story-driven, fictional missions flying the F-14A Tomcat with VF-84 aka the Jolly Rogers', 'Over 50 pages of extensive documentation and background story', 'Detailed briefings and briefing images, including separate PDF documents for each mission', 'Unique kneeboard graphics, maps and checklists', 'Over a thousand specially recorded voice-over messages, sound effects and radio broadcasts', 'Accurate custom skins for each character', 'A wide array of missions including CAP, intercepts, strikes, escorts and much more', 'A randomized practice scenario single player mission', 'GUI wallpaper']","['DCS: F-14 Tomcat', 'DCS: Supercarrier']",English,English
14,DCS: P-47D Wolfpack Campaign by Reflected Simulations,"'Zemke's Wolfpack', the 56th Fighter Group was one of the most famous fighting units of the USAAF in World War II. Flying the P-47 Thunderbolt throughout their time stationed in England, the Group had more ace pilots and destroyed more enemy aircraft in air combat than any other. A large archive of detailed combat reports written by the pilots is available online, and Reflected Simulations endeavoured to recreate these events in DCS World exactly the way they happened. Strap in to your ’Jug’ and relive some of the most epic air battles of the ETO in the Spring of 1944. Key Features:","['12 historical missions based on original combat reports, and extensive research', 'Detailed campaign documentation', 'Realistic briefings and briefing images, including separate PDF mission files', 'Unique kneeboard cards and checklists for each mission', 'Hundreds of specially recorded voice-over messages and radio broadcasts', 'Historically accurate custom skins', 'A wide array of missions including ramrods, rodeos, strafings and dive-bombings']","['DCS: P-47D Thunderbolt', 'DCS: WWII Assets Pack', 'DCS: The Channel Map']",English,English
15,DCS: Ka-50 2 Pandemic Campaign by Armen Murazyan,"In August 2020, terrorist gangs, taking advantage of the turbulent internal political situation in the Islamic Republic of Iran, invaded its territory and occupied part of the country. The Iranian government has requested military assistance from the Russian Federation. You will take part in an anti-terrorist operation as part of a limited contingent of the armed forces of the Russian Federation, as a pilot of a Ka-50 attack helicopter. Key features:","['12 story missions.', 'Detailed briefings with pictures.', 'Hundreds of specially recorded voice-over messages and radio broadcasts.', 'Performing tasks, day and night in different weather conditions.', 'A wide range of tasks, including patrolling, escorting convoys with weapons and transport helicopters, supporting ground forces and tasks to destroy enemy groups.']","['DCS: Black Shark 2 or Upgrade from DCS: Black Shark 1 to DCS: Black Shark 2', 'DCS: Persian Gulf Map']","English, Russian","English, Russian"
16,DCS: A-10C Operation Persian Freedom Campaign by Ground Pounder Sims,"Join Operation Persian Freedom for the A-10C Warthog and the A-10C II Tank Killer and take on the role of RAF exchange pilot Flight Lieutenant David ‘Steep’ Hill as he joins the US 74th Fighter Squadron on the eve of the invasion of Iran. This story driven campaign is set in the Persian Gulf during the Arab Spring of 2011 and explores a scenario where  civil unrest in Iran has resulted in the violent repression of it’s citizens.  This chain of events has led to the formation of a US led coalition with a mandate to invade Iran and remove the Iranian government from power. During this 16 mission campaign you will experience an immersive battlefield as you fight alongside coalition air and ground forces.  The invasion of Iran will unfold in compelling detail through a recurring cast of characters and intense combat. Campaign features: Includes campaign versions for both the A-10C and A-10C II, with specific loadouts and kneeboards for each version.","['16 immersive, story driven missions.', 'Variety of mission types, including search and destroy, killbox patrols, alert tasking for CAS, preplanned strikes and SCUD hunts.', 'Customised wingman commands for more reliable AI behaviour.', 'Custom JTAC system for more immersive control of attacks.', 'Fully voice acted with 3500 audio files recorded.', 'Optional dialogue choices that drive story and character development.', 'Detailed briefing documents and kneeboards.']","['DCS: A-10C Warthog or DCS: A-10C II Tank Killer', 'DCS: Persian Gulf Map']",English,English
17,DCS: AV-8B Sky Warrior Campaign by Eagle86,"Not admitting defeat in the elections for the post of President of Georgia, a retired general nicknamed ""Scorpion"", gathered his army of mercenaries and the military who defected to his side, seized part of the country's territory. After a series of major defeats, the morale of the government troops is broken. Illegal gangs are rampaging in the occupied territories. After receiving a request for help in restoring constitutional order in the country from the elected President of Georgia, the NATO alliance sent the us NAVY frigate ""Oliver Perry"" and the universal landing ship ""Tarawa"" to help.. In this campaign, you will be assigned the role of a pilot of the US marine corps, in which flying the famous AV-8B Harrier II fighter-attack aircraft, you will participate in the liberation of the territory of Georgia from invaders. Key features:","['11 exciting missions in which you need to apply your skills to control the AV-8B Harrier II fighter-attack aircraft in different situations with the use of a wide range of weapons.', 'Briefings, kneeboards, maps, photos of objects from UAVs and from the ground.', 'Musical accompaniment in each mission.', 'Interact with the wingman, UAV and other characters by the F10 radio menu.', 'View completed and current tasks in the mission by the F10 radio menu.']",['DCS: AV-8B Night Attack V/STOL'],"English, Russian","English, Russian"
18,DCS: F/A-18C Rising Squall Campaign by INVERTED,"Rising Squall is a campaign driven by an intricate storyline and intense conflict. While striving for a smooth learning curve for beginners, with missions that progressively become more difficult, the campaign pays heavy attention to the gameplay atmosphere and experience, with professional voice-actors and background music respectively, complementing them. The story takes place in N.E 053 in the INVERTED world. The discovery of Chunium-500 seemed to be a solution to the energy crisis. However, it has also become an uncertainty that once again has intensified the competition between nations. At the same time, an alarming increase in insurgent activities in Star Union has brought increased risks to foreign energy companies. As a result, security companies have joined the action, giving protection to the assets and employees of these energy giants. Energy companies, security companies and nations all profit from the discovery of Chunium. As a newly joined security pilot, you will contribute to fighting terrorists and protecting the energy companies. However, although initially you think your missions are plain and simple, the truth of the ongoing conflicts slowly unfolds... Key Features: If you have DCS: Supercarrier, please start with the SC version.","['No SPACEBAR pressing or F10 menu for dialogue.', 'Artistic briefing pictures with comic-style drawings.', 'Complementary visual novels before each mission (English subtitled).', 'Mission checkpoints and checkpoint autoloading after a crash.', 'Objective display bar, no more getting lost.', 'Pre-recorded intro and controls for a cinematic experience.', 'Dozens of unique liveries.', 'Professional voice-actors.', 'Original soundtrack by Keiki Kobayashi.']","['DCS: F/A-18C Hornet', 'DCS: Persian Gulf Map']","English, Chinese","English, Chinese"
19,DCS: F-14A Zone 5 Campaign by Reflected Simulations,"Dave 'Bio' Baranek entered the US Navy in 1979 and enjoyed a successful and satisfying 20-year career with 2,500 F-14 Tomcat flight hours and 688 carrier landings. He completed the legendary fighter tactics and weapons training program, and later he returned as an instructor. His logbook also records 450 flight hours in the F-5F Tiger II from his instructor tour. He teamed up with Reflected Simulations to give DCS players a taste of air combat maneuvering training in the 1980s. They created a digital syllabus that enables you to experience what it was like to be up there and train with the best. Light the cans, shove it into Zone 5, and let Bio himself walk you through the action. Recorders on, fight's on! Key Features:","['13 campaign missions', 'A wide array of realistic challenges of increasing difficulty based on real life training', 'Over a thousand specially recorded voice-overs, featuring the voice of Jester AI', 'Custom squadron paint schemes', 'Briefings and debriefings written and read by Bio himself', 'Unique, period correct kneeboard graphics for each mission', 'Detailed briefings and briefing cards, including separate PDFs for each mission', 'Checklists, and in-flight guides available in game as well as in PDF format', '3 instant action practice scenarios']","['DCS: F-14 Tomcat', 'DCS: Nevada Test and Training Range Map']",English,English
20,DCS: F-16C Red Flag 21-1 Campaign by Bunyap Campaigns,"The Red Flag 21-1 Campaign is the result of painstaking research on the conduct of modern Large Force Exercises (LFE). Scenarios, procedures, target sites and threats are based on those used in the real Red Flag. Take flight from Nellis AFB, Nevada in an F-16C Viper to test your mettle against modern Chinese hardware in a realistic combat training setting. Face off against the Chinese J-11A Flanker in a special one versus one Basic Fighter Maneuvers (BFM) scenario. These 10 missions will put you up against to some of the best military hardware in the world, operated in the most realistic environment possible in a flight simulation. Key features:","['10 missions based on the actual Red Flag exercise with optional air start for faster mission completion/', 'Detailed PDF mission briefings adapted from USAF standards', '20-page Campaign Guide and 50-page Standard Operating Procedures document to walk you through the experience step by step', 'Hundreds of authentic voice overs provide key information while in flight']","['DCS: F-16C Viper', 'DCS: Nevada Test and Training Range Map']",English,English
21,DCS: F-5E Black Sea Resolve '79 Campaign by SorelRo,"Black Sea Resolve is a fictional story-based campaign that will test your air-to-air and air-to-ground skills in a variety of missions while you confront the Soviet Union forces in the emerging conflict. It is the 1st of March 1979. Your F-5E squadron is being deployed to Krasnodar to support the UN resolution for the Independence of the former Soviet Union provinces. In a rather moderate response, US president Jimmy Carter and the other NATO countries are deploying a force consisting of elements from 9th Infantry Division, 6th Cavalry Air Brigade and a MAU from 1st Marine Division. USAF is preparing 3 squadrons of F5-E and 2 squadrons of F4-E to provide air support. Campaign Features:","['25 story-driven missions', 'Over 300 voiceovers', ""Late 1970's units set"", 'Full-scale conflict that will progress throughout the campaign', 'A large variety of missions. CAP, CAS, RES-CAP, Iron Hand', 'Detailed briefings, kneeboard files, and supporting documentation for each mission']",['DCS: F-5E Tiger II'],English,English
22,"DCS: F/A-18C Operation Pontus Campaign by 373vFS Greg, 373vFS_Petritis, Baltic Dragon","""Operation Pontus"" is a story driven dynamic DLC campaign that puts you in the seat of the legendary F/A-18C Hornet. As the Commanding Officer (CO) of the VFA-131 (aka ""Wildcats”), you will have to plan, design and execute various demanding missions for your squadron, day and night with different weather conditions against an intelligent and adaptive enemy. Your ship, USS George Washington (CVN-73) has just anchored a few miles out of the Georgian – Turkish border and is ready to take action to put an end to a civil war that threatens to set the whole region on fire. Your decisions and performance will determine the progress of the campaign, number of missions, enemy activity, allied morale and the final outcome of the war. ""Operation Pontus” main campaign features: ""Every decision counts... Start' em Up!”","['Up to 30 missions (total number is based on your success rate).', 'Dynamic Briefings and SITREPs.', 'Decision making and planning.', 'Over 1000 voiceovers creating a dynamic environment.']","['Introducing a new Gameplay style based on the DCS World mission planner.', 'Full use of DCS: Supercarrier.', 'DCS: F/A-18C Hornet', 'DCS: Supercarrier']",English,English
23,DCS: Fw 190 A-8 Horrido! Campaign by Reflected Simulations,"August, 1944. You arrive to Merville-Calonne to take over the leadership of 7./JG26 flying Focke Wulf 190A-8s. Most of the pilots are mere teenagers with only a few flying hours, and your job is to turn them into an efficient fighting unit under the ever-increasing pressures of the war. The Western-Allies have gained complete air superiority over the continent, and their ground forces are advancing rapidly through France. Experience the thrill of attacking large bomber formations head-on, or the terror of taking off amid the bullets of low flying Mustangs. Escort bombers to their target across the hazy Channel, or strafe enemy vehicles advancing relentlessly towards Germany. Join the last of the Jagdfliegers as they fight desperately day after day in the final months of the Third Reich. Key Features:","['12 semi-historical missions focusing on JG26 in August 1944', 'Detailed briefings and briefing images, including separate PDF mission files', 'Unique kneeboard cards and checklists for each mission', 'Hundreds of specially recorded voice-over messages and radio broadcasts', 'German voices with English subtitles', 'Historically accurate custom skins', 'A wide array of missions including patrol, intercept, bomber escort, ground attack and more']","['DCS: Fw 190 A-8', 'DCS: WWII Assets Pack', 'DCS: The Channel Map']",English,English
24,DCS: Mi-8MTV2 Crew Part 1 Campaign by Stone Sky,"And again, you take over the seat of the commander of a Mi-8MTV2. You are Dmitry Tarasov - a young pilot, who climbs the career ladder and is faced with professional difficulties that your crew helps to overcome. The adventure story of the Crew campaign consists of two parts. In the first part, you have to perform the following tasks: To pass the Crew campaign, you will need to know about how avionics, radio and navigation equipment work. The ability to conduct sustainable helicopter control in all stages of flight is required. Skills in handling engine and instrument failures will also be useful to you. Main features:","['Transport of vip-passengers on the Mi-8MTV2 in the configuration ""Salon"".', 'Work at Gazprom-Yuzhneft sites in the Krasnodar Territory.', 'Perform tasks in VFR and IFR.', 'Work on Gazprom-Arctic sites on the territory of the Bolshevik island, the Severnaya Zemlya archipelago (implemented on the Caucasus map).', 'In combat missions, you have to complete combat training flights with firing at ground targets.', 'Day and night flights.', '14 story missions', '163 pages of detailed briefings and kneeboard', '1320 triggers', '1680 voiceovers']",['DCS: Mi-8MTV2 Magnificent Eight'],"English, Russian","English, Russian"
25,DCS: F/A-18C Raven One Сampaign by Baltic Dragon,"The Raven One campaign for the F/A-18C Hornet is based on the bestselling novel of the same title. This campaign was developed with the active participation of author Kevin Miller and Vincent ""Jell-O"" Aiello, host of the Fighter Pilot Podcast. Both are retired U.S. Navy Hornet pilots, each with over 3,000 career flight hours and numerous overseas deployments. The campaign faithfully recreates sorties from the book, while adding additional ones related to the action, for a total of 15 immersive, fully voiced-over missions. Each script was carefully checked by Kevin and Vincent to ensure the most realistic experience available in DCS. Finally, the campaign utilizes innovative solutions, making in-game AI more responsive and predictive. It will also have a limited save-game capability during the campaign gameplay, as some missions may take two or more hours to complete. Features:","['15 story – driven missions', 'Over 2200 recorded lines performed by over 50 voice actors', 'All main characters from the ""Raven One"" novel', 'Mission briefings supplementing and extending the ones described in the book, written in close cooperation with Kevin Miller', 'Highly detailed and realistic maps, kneeboards and other documents based on real-life counterparts', 'All major types of missions: CAP, CAS, SEAD, ground and surface strikes, Alert – 7 and Alert – 30 launches, Sea Surface Search Control, air interceptions and others']","['DCS: F/A-18C Hornet', 'DCS: Persian Gulf Map', 'DCS: Supercarrier']",English,English
