campaign_id,name,tags
10,MiG-21bis Battle of Krasnodar Campaign by SorelRo,battle of krasnodar is a story-based campaign that will test your air-to-air and air-to-ground skills in a variety of missions while you confront us forces in the emerging conflict '25 story-driven missions' 'over 400 voiceovers' 'late 1970’s units set' 'full scale conflict that will progress throughout the campaign' 'large variety of missions cap cas intercept escort anti-ship' 'detailed briefings kneeboard files and supporting documentation for each mission' english russian english
11,MiG-21bis Constant Peg Campaign by Bunyap Campaigns,the constant peg campaign is based on operations carried out by the usaf's 4477th test and evaluation squadron the 'red eagles' these 10 missions are set in 1988 and replicate the unit's typical operations from tonopah test range airfield nevada you will take flight in a mig-21 to expose pilots from operational units to soviet aircraft and to replicate adversary tactics during realistic combat training scenarios face off against the f-14 tomcat and f-15 eagle in one versus one and two versus two air combat lead your flight against a larger force during realistic fighter weapons school 'mission employment' training and a 'red flag' exercise mission this campaign was designed in partnership with steve davies author of red eagles america's secret migs host of the 10 percent true tales from the cockpit podcast and the authority on constant peg operations he brought with him access to the real red eagles pilots whose technical guidance was used to ensure this is the most realistic experience possible key features '10 missions based on first-hand accounts of constant peg operations' 'a campaign introduction by steve davies and 10 sets of pdf briefings adapted from usaf standards' 'custom kneeboard pages for each mission including a reproduction of an actual red eagles mig-21 checklist' 'hundreds of authentic voice overs that recreate the actual callsigns and procedures' english english
12,F/A-18C Rise of the Persian Lion Campaign by Badger 633,"as another sunrise breaks over the shimmering iranian desert horizon things in the gulf are about to change in a big way it appears that the irgc is no longer subservient to the clerics as before fuelled by the recent severe international sanctions its new aggressive leader by the name of 'asad' has sworn to take full control of the straits of hormuz in response an international force has been deployed to the area with the uss abraham lincoln at its heart as lieutenant scott waters call sign 'ford' deployment on uss john c stennis in the black sea draws to a close both he and his wingman are soon to become part of this new force in the gulf things are balanced on a pin head tensions in the gulf are about to be raised to breaking point and beyond this campaign follows on from ford's exploits at the black sea on board the uss john c stennis in the 'serpent's head 2 campaign' the campaign ethos as before is not to capture reality but create an imaginative immersive and engaging set of missions linked together with a developing plot narrative key features '15 detailed missions linked by an ongoing story line' ""'ford' is now joined by his wingman lieutenant larry jackson call sign 'wave'"" 'as before a vr friendly design with careful control of resources and including recall of airborne coordinates' 'over a thousand voice overs performed by voice actors' 'detailed briefs for each of the missions including pdf versions' 'kneeboards for each mission' 'personalised aircraft skins' ""alternate optional campaign version with 'easy air to air refuel' for those who have not yet mastered the art of catching the basket"" 'mission bypass system this allows the pilot in the first 5 minutes of a mission to select via the f10 menu to move up to the next level even if they fail the mission' english english"
13,F-14A Fear the Bones Campaign by Reflected Simulations,april 1989 the uss valley forge cruiser had an accident on the black sea just off the coast of the soviet union and the uss theodore roosevelt is being sent there to support the rescue operation with vf-84 on board jaws jester ghost pyro caveman grip elvis and glory all hot shot f-14a tomcat fighter jocks of the 'jolly rogers' are itching to see some action but they might get more than they bargained for join them in fighting migs intercepting bears defending the fleet escorting alpha strikes and much more in this relaxed story-driven campaign that is an entertaining mix of realism and 1980s style fiction kick the tires light the fires and make them 'fear the bones!' key features '13 story-driven fictional missions flying the f-14a tomcat with vf-84 aka the jolly rogers' 'over 50 pages of extensive documentation and background story' 'detailed briefings and briefing images including separate pdf documents for each mission' 'unique kneeboard graphics maps and checklists' 'over a thousand specially recorded voice-over messages sound effects and radio broadcasts' 'accurate custom skins for each character' 'a wide array of missions including cap intercepts strikes escorts and much more' 'a randomized practice scenario single player mission' 'gui wallpaper' english english
14,P-47D Wolfpack Campaign by Reflected Simulations,'zemke's wolfpack' the 56th fighter group was one of the most famous fighting units of the usaaf in world war ii flying the p-47 thunderbolt throughout their time stationed in england the group had more ace pilots and destroyed more enemy aircraft in air combat than any other a large archive of detailed combat reports written by the pilots is available online and reflected simulations endeavoured to recreate these events in dcs world exactly the way they happened strap in to your ’jug’ and relive some of the most epic air battles of the eto in the spring of 1944 key features '12 historical missions based on original combat reports and extensive research' 'detailed campaign documentation' 'realistic briefings and briefing images including separate pdf mission files' 'unique kneeboard cards and checklists for each mission' 'hundreds of specially recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including ramrods rodeos strafings and dive-bombings' english english
15,Ka-50 2 Pandemic Campaign by Armen Murazyan,in august 2020 terrorist gangs taking advantage of the turbulent internal political situation in the islamic republic of iran invaded its territory and occupied part of the country the iranian government has requested military assistance from the russian federation you will take part in an anti-terrorist operation as part of a limited contingent of the armed forces of the russian federation as a pilot of a ka-50 attack helicopter key features '12 story missions' 'detailed briefings with pictures' 'hundreds of specially recorded voice-over messages and radio broadcasts' 'performing tasks day and night in different weather conditions' 'a wide range of tasks including patrolling escorting convoys with weapons and transport helicopters supporting ground forces and tasks to destroy enemy groups' english russian english russian
16,A-10C Operation Persian Freedom Campaign by Ground Pounder Sims,join operation persian freedom for the a-10c warthog and the a-10c ii tank killer and take on the role of raf exchange pilot flight lieutenant david ‘steep’ hill as he joins the us 74th fighter squadron on the eve of the invasion of iran this story driven campaign is set in the persian gulf during the arab spring of 2011 and explores a scenario where civil unrest in iran has resulted in the violent repression of it’s citizens this chain of events has led to the formation of a us led coalition with a mandate to invade iran and remove the iranian government from power during this 16 mission campaign you will experience an immersive battlefield as you fight alongside coalition air and ground forces the invasion of iran will unfold in compelling detail through a recurring cast of characters and intense combat campaign features includes campaign versions for both the a-10c and a-10c ii with specific loadouts and kneeboards for each version '16 immersive story driven missions' 'variety of mission types including search and destroy killbox patrols alert tasking for cas preplanned strikes and scud hunts' 'customised wingman commands for more reliable ai behaviour' 'custom jtac system for more immersive control of attacks' 'fully voice acted with 3500 audio files recorded' 'optional dialogue choices that drive story and character development' 'detailed briefing documents and kneeboards' english english
17,AV-8B Sky Warrior Campaign by Eagle86,"not admitting defeat in the elections for the post of president of georgia a retired general nicknamed ""scorpion"" gathered his army of mercenaries and the military who defected to his side seized part of the country's territory after a series of major defeats the morale of the government troops is broken illegal gangs are rampaging in the occupied territories after receiving a request for help in restoring constitutional order in the country from the elected president of georgia the nato alliance sent the us navy frigate ""oliver perry"" and the universal landing ship ""tarawa"" to help in this campaign you will be assigned the role of a pilot of the us marine corps in which flying the famous av-8b harrier ii fighter-attack aircraft you will participate in the liberation of the territory of georgia from invaders key features '11 exciting missions in which you need to apply your skills to control the av-8b harrier ii fighter-attack aircraft in different situations with the use of a wide range of weapons' 'briefings kneeboards maps photos of objects from uavs and from the ground' 'musical accompaniment in each mission' 'interact with the wingman uav and other characters by the f10 radio menu' 'view completed and current tasks in the mission by the f10 radio menu' english russian english russian"
18,F/A-18C Rising Squall Campaign by INVERTED,rising squall is a campaign driven by an intricate storyline and intense conflict while striving for a smooth learning curve for beginners with missions that progressively become more difficult the campaign pays heavy attention to the gameplay atmosphere and experience with professional voice-actors and background music respectively complementing them the story takes place in ne 053 in the inverted world the discovery of chunium-500 seemed to be a solution to the energy crisis however it has also become an uncertainty that once again has intensified the competition between nations at the same time an alarming increase in insurgent activities in star union has brought increased risks to foreign energy companies as a result security companies have joined the action giving protection to the assets and employees of these energy giants energy companies security companies and nations all profit from the discovery of chunium as a newly joined security pilot you will contribute to fighting terrorists and protecting the energy companies however although initially you think your missions are plain and simple the truth of the ongoing conflicts slowly unfolds key features if you have dcs supercarrier please start with the sc version 'no spacebar pressing or f10 menu for dialogue' 'artistic briefing pictures with comic-style drawings' 'complementary visual novels before each mission english subtitled' 'mission checkpoints and checkpoint autoloading after a crash' 'objective display bar no more getting lost' 'pre-recorded intro and controls for a cinematic experience' 'dozens of unique liveries' 'professional voice-actors' 'original soundtrack by keiki kobayashi' english chinese english chinese
19,F-14A Zone 5 Campaign by Reflected Simulations,dave 'bio' baranek entered the us navy in 1979 and enjoyed a successful and satisfying 20-year career with 2500 f-14 tomcat flight hours and 688 carrier landings he completed the legendary fighter tactics and weapons training program and later he returned as an instructor his logbook also records 450 flight hours in the f-5f tiger ii from his instructor tour he teamed up with reflected simulations to give dcs players a taste of air combat maneuvering training in the 1980s they created a digital syllabus that enables you to experience what it was like to be up there and train with the best light the cans shove it into zone 5 and let bio himself walk you through the action recorders on fight's on! key features '13 campaign missions' 'a wide array of realistic challenges of increasing difficulty based on real life training' 'over a thousand specially recorded voice-overs featuring the voice of jester ai' 'custom squadron paint schemes' 'briefings and debriefings written and read by bio himself' 'unique period correct kneeboard graphics for each mission' 'detailed briefings and briefing cards including separate pdfs for each mission' 'checklists and in-flight guides available in game as well as in pdf format' '3 instant action practice scenarios' english english
20,F-16C Red Flag 21-1 Campaign by Bunyap Campaigns,the red flag 21-1 campaign is the result of painstaking research on the conduct of modern large force exercises (lfe) scenarios procedures target sites and threats are based on those used in the real red flag take flight from nellis afb nevada in an f-16c viper to test your mettle against modern chinese hardware in a realistic combat training setting face off against the chinese j-11a flanker in a special one versus one basic fighter maneuvers (bfm) scenario these 10 missions will put you up against to some of the best military hardware in the world operated in the most realistic environment possible in a flight simulation key features '10 missions based on the actual red flag exercise with optional air start for faster mission completion/' 'detailed pdf mission briefings adapted from usaf standards' '20-page campaign guide and 50-page standard operating procedures document to walk you through the experience step by step' 'hundreds of authentic voice overs provide key information while in flight' english english
21,F-5E Black Sea Resolve '79 Campaign by SorelRo,"black sea resolve is a fictional story-based campaign that will test your air-to-air and air-to-ground skills in a variety of missions while you confront the soviet union forces in the emerging conflict it is the 1st of march 1979 your f-5e squadron is being deployed to krasnodar to support the un resolution for the independence of the former soviet union provinces in a rather moderate response us president jimmy carter and the other nato countries are deploying a force consisting of elements from 9th infantry division 6th cavalry air brigade and a mau from 1st marine division usaf is preparing 3 squadrons of f5-e and 2 squadrons of f4-e to provide air support campaign features '25 story-driven missions' 'over 300 voiceovers' ""late 1970's units set"" 'full-scale conflict that will progress throughout the campaign' 'a large variety of missions cap cas res-cap iron hand' 'detailed briefings kneeboard files and supporting documentation for each mission' english english"
22,"F/A-18C Operation Pontus Campaign by 373vFS Greg, 373vFS_Petritis, Baltic Dragon","""operation pontus"" is a story driven dynamic dlc campaign that puts you in the seat of the legendary f/a-18c hornet as the commanding officer (co) of the vfa-131 (aka ""wildcats”) you will have to plan design and execute various demanding missions for your squadron day and night with different weather conditions against an intelligent and adaptive enemy your ship uss george washington (cvn-73) has just anchored a few miles out of the georgian – turkish border and is ready to take action to put an end to a civil war that threatens to set the whole region on fire your decisions and performance will determine the progress of the campaign number of missions enemy activity allied morale and the final outcome of the war ""operation pontus” main campaign features ""every decision counts start' em up!” 'up to 30 missions total number is based on your success rate' 'dynamic briefings and sitreps' 'decision making and planning' 'over 1000 voiceovers creating a dynamic environment' english english"
23,Fw 190 A-8 Horrido! Campaign by Reflected Simulations,august 1944 you arrive to merville-calonne to take over the leadership of 7/jg26 flying focke wulf 190a-8s most of the pilots are mere teenagers with only a few flying hours and your job is to turn them into an efficient fighting unit under the ever-increasing pressures of the war the western-allies have gained complete air superiority over the continent and their ground forces are advancing rapidly through france experience the thrill of attacking large bomber formations head-on or the terror of taking off amid the bullets of low flying mustangs escort bombers to their target across the hazy channel or strafe enemy vehicles advancing relentlessly towards germany join the last of the jagdfliegers as they fight desperately day after day in the final months of the third reich key features '12 semi-historical missions focusing on jg26 in august 1944' 'detailed briefings and briefing images including separate pdf mission files' 'unique kneeboard cards and checklists for each mission' 'hundreds of specially recorded voice-over messages and radio broadcasts' 'german voices with english subtitles' 'historically accurate custom skins' 'a wide array of missions including patrol intercept bomber escort ground attack and more' english english
24,Mi-8MTV2 Crew Part 1 Campaign by Stone Sky,"and again you take over the seat of the commander of a mi-8mtv2 you are dmitry tarasov - a young pilot who climbs the career ladder and is faced with professional difficulties that your crew helps to overcome the adventure story of the crew campaign consists of two parts in the first part you have to perform the following tasks to pass the crew campaign you will need to know about how avionics radio and navigation equipment work the ability to conduct sustainable helicopter control in all stages of flight is required skills in handling engine and instrument failures will also be useful to you main features 'transport of vip-passengers on the mi-8mtv2 in the configuration ""salon""' 'work at gazprom-yuzhneft sites in the krasnodar territory' 'perform tasks in vfr and ifr' 'work on gazprom-arctic sites on the territory of the bolshevik island the severnaya zemlya archipelago implemented on the caucasus map' 'in combat missions you have to complete combat training flights with firing at ground targets' 'day and night flights' '14 story missions' '163 pages of detailed briefings and kneeboard' '1320 triggers' '1680 voiceovers' english russian english russian"
25,F/A-18C Raven One Сampaign by Baltic Dragon,"the raven one campaign for the f/a-18c hornet is based on the bestselling novel of the same title this campaign was developed with the active participation of author kevin miller and vincent ""jell-o"" aiello host of the fighter pilot podcast both are retired us navy hornet pilots each with over 3000 career flight hours and numerous overseas deployments the campaign faithfully recreates sorties from the book while adding additional ones related to the action for a total of 15 immersive fully voiced-over missions each script was carefully checked by kevin and vincent to ensure the most realistic experience available in dcs finally the campaign utilizes innovative solutions making in-game ai more responsive and predictive it will also have a limited save-game capability during the campaign gameplay as some missions may take two or more hours to complete features '15 story – driven missions' 'over 2200 recorded lines performed by over 50 voice actors' 'all main characters from the ""raven one"" novel' 'mission briefings supplementing and extending the ones described in the book written in close cooperation with kevin miller' 'highly detailed and realistic maps kneeboards and other documents based on real-life counterparts' 'all major types of missions cap cas sead ground and surface strikes alert – 7 and alert – 30 launches sea surface search control air interceptions and others' english english"
26,F/A-18C Hornet - The Serpent's Head 2 Campaign by Badger 633,"the ""serpents head 2"" is a 10 mission campaign for the f/a-18c hornet it comprises the next chapter of the previous 6 mission ""serpents head"" campaign already released and still available in the dcs user files as before it is a story-based campaign following the exploits of ""ford"" he is currently still stationed on the uss john c stennis the heart of the task force in the last campaign they had been sent to the black sea to address a regional conflict in this new campaign his flying skills and effective operation of the hornets weapons will be tested even further the campaign ethos as before is not to capture reality but create an imaginative enjoyable and engaging set of missions linked together with a plot narrative it has been designed with vr in mind including f10 menu items allowing coordinates given over the radio to be recalled back on screen it has taken many hours to complete over many months and includes over 400 actor voice files for these many thanks to ""reflected""""@alexander_dex"" and "" cdr ""curveball"" krotchety"" included are pdf briefs for each mission which should be read prior ""even as ""fords"" thoughts are homeward bound things are about to change in a way even he could not have anticipated"" english english"
27,F-86F Hunters over the Yalu Campaign by Reflected Simulations,"it's early 1953 after completing several tours in wwii you're yet again putting your neck on the line by flying dangerous combat missions over north korea command the 67th fighter bomber squadron attack enemy bridges factories strafe supply columns and support the us troops as they fight their fierce battles on the ground survive the heavy flak and fighter attacks then transfer to the legendary 39th fighter interceptor squadron to carry out large fighter sweeps in mig alley over the yalu river and tangle with massive bandit trains in the stratosphere watch out for the honchos they say casey jones is back in business! key features '12 realistic missions to be flown as the squadron leader of the 67th fbs and the 39th fis' 'sequel of the ""blue nosed bastards of bodney"" campaign although not mandatory' 'a detailed background story mission contexts and checklists' 'detailed briefings and briefing images including separate pdf mission descriptions' 'unique kneeboard graphics for each mission' 'over 300 custom recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including cas bombing fighter sweep escort and scramble' english english"
28,UH-1H Worlds Apart - Spring 2025 Campaign by Low-Level-Heaven Mission Development,"a story-driven campaign consisting of you in the role of a german bell uh-1h helicopter pilot serving in the ""wolf pack"" squadron a unit of the german light aircraft group (heeresflieger) you are part of a four-person crew consisting of your commanding officer peter berger the two gunners hans and tom and you as the right seat pilot fly combined missions with your squadron leader wolf one and other helicopter and aircraft units missions are with other air and ground forces as well as naval units from different countries you will conduct transport missions as well as armed patrol and day and night combat missions in all weather conditions key features '12 challenging missions' 'more than 1400 voice overs' 'voice actors with an american german and russian accents' 'and more than 170 pages of detailed documentation' 'find mission-relevant information integrated into the kneeboard files' english english"
29,Bf 109 K-4 Jagdflieger Campaign by Reflected Simulations,"it's march 1944 the beginning of the end the reich has become a fortress without a roof the large formations of allied four motors have become daily visitors come join the german luftwaffe in these dire times jump into one of jg26's messerschmitt bf-109-s and find out what it’s like to attack the ""fat cats"" head on or to take off in a hail of bullets from the attacking mustangs watch the allied forces land on the beaches of normandy and support the retreating wehrmacht let all the details immerse you in this semi-historical campaign and make you feel like a young jagdflieger fighting a lost battle where like 1944 survival is the most you can hope for key features '12 semi-historical missions focusing on jg26 from march to july 1944' 'a detailed background story mission contexts and checklists' 'detailed briefings and briefing images including separate pdf mission files' 'unique kneeboard graphics for each mission' 'over 250 specially recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including free hunt intercept bomber escort and ground attack' english english"
30,F/A-18C Aggressors BFM Campaign by Maple Flag Missions,"the f/a-18c aggressors bfm campaign puts you in the cockpit of an fa-18c hornet as a new aggressor pilot with vfc-12 the ""fighting omars"" on loan to the 65th aggressor squadron at nellis air force base based on real world procedures you will fly as red air against blue air forces upon arrival you will fly a familiarization flight around the nevada test and training range (nttr) then you will face a series of challenging basic fighter maneuver (bfm) missions against similar and dis-similar aircraft 'your opponents include the f-4e f-5e f-14a f-15c f-15e f-16c f/a-18c m-2000c mig-29g cf-188 mig-21 and su-27' 'additionally there are 12 single player practice missions with in-air starts so you can perfect your bfm tactics techniques and procedures' 'there are over 1000 voice-overs and over 45 pages of briefing material including the red flag spins red forces in flight guide maps diagrams custom knee-boards and mission data cards' english english"
31,The Enemy Within 3.0 Campaign by Baltic Dragon,"the enemy within 30 is a complete remake of the critically-acclaimed the enemy within campaign for the a-10c warthog this story-driven campaign puts you in cockpit of the warthog as part of a small 6-ship us detachment sent to georgia your mission is to help contain a growing threat from a terrorist organization calling itself the ""caucasus liberation army"" (cla) as the story unfolds you will be faced with a variety of challenges including close air support precision strikes combat search and rescue anti-ship strikes and even air to air combat striving to be as realistic as possible the units featured in the campaign are based on their real-life counterparts it also uses a sophisticated radio control system meaning that you must tune your on-board radios to the correct frequency to hear the more than 2000 custom voiceovers available throughout 21 missions compared to the original campaign version 30 offers following great additions and changes '20 out of 21 missions have been rewritten from scratch this includes the course of action dialogues briefings and background information' 'more than 2/3 of the missions take place in different locations than the original ones and most feature different challenges and enemies to provide a completely new experience 3 entirely new missions that are designed to complement and extend the storyline' 'the 8 pilot and 3 commander characters featured throughout the campaign have almost 4x more custom voiceovers over 2100' 'additional documents and custom kneeboard pages are available for each sortie' english english"
32,P-51D: The Blue Nosed Bastards of Bodney Campaign by Reflected Simulations,become a member of the most famous fighter unit of the usaaf take part in escorting large bomber formations support the ground troops after d-day or engage the luftwaffe over the snowy hills of the ardennes the blue nosed bastards of bodney is a semi-historical campaign for the p-51d mustang it follows the 352nd fighter group from may 1944 through the normandy landings until operation bodenplatte in january 1945 this campaign has a plethora of details and easter eggs to make you feel like a young american flyboy in the army air forces in 1944 key features for more information and support please visit to dedicated section of reflected simulations on the dcs forum '14 semi-historical missions focusing on the 352nd fighter group' 'a detailed background story mission contexts checklists and encounter reports' 'detailed briefings and briefing images including separate pdf mission files' 'unique kneeboard graphics and checklists for each mission' 'hundreds of specially recorded voice-over messages and radio broadcasts' 'historically accurate custom skins' 'a wide array of missions including fighter sweep bomber escort armed reconnaissance and ground attack' english english
